SMILES1,SMILES2
O=C1CNC(=O)CN1,OC(=O)c1cc(Cl)c(cc1Cl)C(O)=O
O=C1CNC(=O)CN1,OC1=CC(=O)C(=CC1=O)O
CCCC=CC(O)=O,NC(=O)c1ccncc1
NC(=O)c1ccncc1,OC(=O)c1ccc(cc1)N(=O)=O
Nc1ncc(cn1)N(=O)=O,Nc1ncccc1N(=O)=O
NC(=O)c1ccc(Cl)cc1,OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
CN(C)c1cccc(c1)C(O)=O,NC(=O)c1ccc(Cl)cc1
NC(=O)c1ccc(Cl)cc1,OC(=O)C=CC(O)=O
O=C1C=Cc2ccccc2C1=CNc1ccc(Oc2ccc(NC=C3C(=O)C=Cc4ccccc34)cc2)cc1,Oc1ccc2ccccc2c1C=Nc1ccc(Oc2ccc(NC=C3C(=O)C=Cc4ccccc34)cc2)cc1
O=C(NCc1ccncc1)C(=O)NCc1ccncc1,Oc1ccc(cc1)N=Nc1ccccc1C(O)=O
CC(C)C(=O)Nc1cccc(NC(=O)C(C)C)n1,CN(C)c1ccc(cc1)C#CC1(C)CC2(C)CC(C)(C1)C(=O)NC2=O
CC(C)C(=O)Nc1cccc(NC(=O)C(C)C)n1,CC1(CC2(C)CC(C)(C1)C(=O)NC2=O)C#C
Fc1c(F)c(I)c(F)c(F)c1I,NN1CCOCC1
CC(C)C(=O)Nc1cccc(NC(=O)C(C)C)n1,CC1(CC2(C)CC(C)(C1)C(=O)NC2=O)C#Cc1ccc(cc1)c1cnccn1
CC(C)C(=O)Nc1cccc(NC(=O)C(C)C)n1,CC1(CC2(C)CC(C)(C1)C(=O)NC2=O)C#Cc1ccc(cc1)c1cncnc1
CC1(CC2(C)CC(C)(C1)C(=O)NC2=O)C#Cc1ccccc1,CCc1cc(NC(=O)C(C)C)nc(NC(=O)C(C)C)c1
Fc1c(I)c(F)c(I)c(F)c1I,NN1CCOCC1
Fc1c(I)c(F)c(I)c(F)c1I,Oc1ccc2ccccc2c1C=NN1CCOCC1
Fc1c(F)c(Br)c(F)c(F)c1Br,Oc1ccc2ccccc2c1C=NN1CCOCC1
Fc1c(F)c(F)c(I)c(F)c1F,Oc1ccc2ccccc2c1C=NN1CCOCC1
Fc1c(F)c(I)c(F)c(F)c1I,Oc1ccc2ccccc2c1C=NN1CCOCC1
CN(C)c1ccncc1,Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
CN1C(SC(=C1C)C)=NN=C1SC(=C(C)N1C)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
CN1C(SC(=C1C)C)=NN=C(C)C(C)=NN=C1SC(=C(C)N1C)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
CC(=O)Nc1cccc(NC(C)=O)n1,O=C1CN(N=CC2=CC=C(O2)N(=O)=O)C(=O)N1
NC(=S)c1ccccc1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
NC(=O)CN1CCCC1=O,OC(=O)c1cc(O)c(O)c(O)c1
C1CCN(C1)c1ccncc1,CC1(C)N(I)C(=O)N(I)C1=O
CC1(C)N(I)C(=O)N(I)C1=O,COC(=O)c1ccncc1
CC1(C)N(I)C(=O)N(I)C1=O,CN(C)c1ccncc1
COc1cccc(COC2=CC(=O)OC(=C2)C)c1,O=C1NC(=O)C=C1
Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12,c1ccc2cnccc2c1
C(Cc1ccncc1)c1ccncc1,OC(=O)c1ccc(C=Cc2ccc(cc2)C(O)=O)cc1
O=C(NCc1ccncc1)C(=O)NCc1ccncc1,Oc1cc(O)cc(c1)C(=O)OCC#CC#C
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
N#Cc1cc(C#N)c(cc1C#N)C#N,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
Nc1ccccc1C(O)=O,[NH3+]c1ccccc1C(=O)[O-]
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,NC(=O)c1ccccc1O
CN1C(=O)c2ccc3C(=O)N(C)C(=O)c4ccc(C1=O)c2c34,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
Oc1cccc2c3ccccc3c3ccccc3c3cccc(O)c3c12,c1cc(ccn1)c1ccncc1
NC(=O)NC(N)=O,OC(=O)CCCC(O)=O
NC(N)=O,c1ccc(nc1)c1ccccn1
NC(N)=S,c1ccc(nc1)c1ccccn1
NC(N)=S,c1cnc2c(c1)ccc1cccnc21
NC(N)=O,c1cnc2c(c1)ccc1cccnc21
Cc1ccc2ccc3ccc(C)nc3c2n1,NC(N)=O
Cc1ccc2ccc3ccc(C)nc3c2n1,NC(N)=S
C(N1C=CN=C1)c1ccc(CN2C=CN=C2)cc1,OC(=O)C1CCC(CC1)C(O)=O
CC(=CC(O)=O)C(O)=O,[O-]c1ccccc1C=[NH+]c1ccccc1
C(Cc1ccncc1)c1ccncc1,CC#CC(O)=O
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,Oc1ccc(cc1)C1=C(O)C(=O)c2c(O)cc(O)cc2O1
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c1cc(O)c(O)c(O)c1)O
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc2cc3ccccc3cc2c1
CC12CCC3C(C=CC4=CC(=O)C=CC34C)C1CCC2=O,Oc1ccc(Br)cc1
OC(C(O)C(O)=O)C(O)=O,c1cnccn1
CNC(C)=O,OC(C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
C[S+](C)CCC(=O)[O-],Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
ClC1=CC(C=C(Cl)C1=O)=C1C=C(Cl)C(=O)C(=C1)Cl,c1ccc2cc3ccccc3cc2c1
N#Cc1cc(C#N)c(cc1C#N)C#N,c1ccc2cc3ccccc3cc2c1
Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,c1ccc2cc3ccccc3cc2c1
O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2cc3ccccc3cc2c1
O=C1NC=C2C=CC=CC2=C1,OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
O=C1NC=C2C=CC=CC2=C1,Oc1cccc(O)c1
C1CSCCS1,Fc1c(F)c(I)c(F)c(F)c1I
Fc1c(F)c(F)c(I)c(I)c1F,c1ccc2nc3ccccc3nc2c1
Fc1c(F)c(I)c(F)c(F)c1I,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
C1=Cc2ccc3C=Cc4ccc(C=C1)c2c34,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
Clc1ccc(C=Cc2ccncc2)c(Cl)c1,NC(N)=S
Oc1cc(O)c(Cl)cc1Cl,c1ccc(nc1)c1ccccn1
Oc1cc(O)c(Cl)cc1Cl,S1C(=CC=C1c1ccccn1)c1ccccn1
NC(N)=S,c1ccc(C=Cc2ccccn2)nc1
Oc1ccccc1O,S1C(=CC=C1c1ccccn1)c1ccccn1
CC1=NNC(=O)N(C1)N=Cc1cccnc1,OC(=O)c1cc(O)ccc1O
CC1=NNC(=O)N(C1)N=Cc1cccnc1,OC(=O)c1ccc(O)cc1
CN1N(C(=O)C=C1C)c1ccccc1,OC(=O)c1ccccc1O
CN1c2ccccc2Sc2ccccc12,O=N(=O)c1cccc(c1)N(=O)=O
NC(=O)c1ccccc1O,OC(=O)c1ccccc1O
CC(=O)C1=CC(=NN(C1)c1ccccc1)C(=O)c1ccccc1,CC(=O)C1=NN(CC(=C1)C(=O)c1ccccc1)c1ccccc1
Cc1ccc2c(C)c(Cc3ccccc3)[n+]([O-])c(C)c2c1,OC(=O)CCC(O)=O
Oc1ccc(Cc2ccc(O)cc2)cc1,c1cc(ccn1)C=Cc1ccncc1
Cc1c[n+]([O-])c2ccccc2c1,OC(=O)c1cccc(Cl)c1
